Latitude,Longitude,Value
33.8381,-116.310556,942
33.8381,-116.310556,723
33.837823,-116.310245,190
33.847359,-116.313213,0
33.84,-116.31,7
33.847253,-116.313188,3
33.84,-116.31,50
33.847525,-116.31323,121
33.816918,-116.30969,6
33.847339,-116.313513,38
33.847282,-116.31332,4
33.84,-116.31,0
33.847269,-116.313247,12
33.847826,-116.313236,21
33.847594,-116.313269,2768
33.84,-116.31,15
33.847642,-116.313236,5
33.847285,-116.313328,13
33.847271,-116.313381,0
33.84738,-116.313432,14
33.847391,-116.313202,980
33.84,-116.31,133
33.847447,-116.313254,2
33.847404,-116.313419,1
33.847696,-116.313201,84
33.836195,-116.310251,80
33.837378,-116.30993,262
33.836472,-116.310155,597
33.847597,-116.31336,45
33.847362,-116.313378,53
33.847541,-116.313384,1687
33.84,-116.31,1852
33.847354,-116.313369,0
33.837374,-116.309964,206
33.84,-116.31,0
33.847412,-116.313393,9
33.848066,-116.312999,90
33.847527,-116.313225,6
33.84771,-116.313219,18
33.837424,-116.309791,131
33.847541,-116.313384,204
33.847259,-116.313246,5
33.84,-116.31,66
33.84,-116.31,0
33.847741,-116.313247,16
33.847237,-116.313456,56
33.837795,-116.310325,0
33.84759,-116.313258,60
