Latitude,Longitude,Value
33.838,-116.31,0
33.837799,-116.310533,0
33.837824,-116.310105,0
33.837627,-116.310133,0
33.837686,-116.310382,68
33.891629,-116.366084,0
33.847537,-116.31319,106
33.837826,-116.310403,0
33.83753,-116.310202,0
33.847457,-116.313351,137
33.837774,-116.30918,0
33.84737,-116.313224,90
33.837844,-116.310379,0
33.847534,-116.313426,197
33.837386,-116.310127,0
33.837179,-116.309927,0
33.837307,-116.3098,0
33.837739,-116.309824,315
33.837626,-116.309601,0
33.83739,-116.309869,0
33.83748,-116.30968,0
33.837604,-116.309407,0
33.837466,-116.310129,0
33.83803,-116.310446,11
33.837825,-116.310479,0
33.838119,-116.310705,0
33.837654,-116.310288,0
33.837386,-116.310127,0
33.837861,-116.309941,0
33.837385,-116.309448,0
33.837681,-116.310024,0
33.847869,-116.313252,0
33.847,-116.313,22
33.82731,-116.224371,0
33.847647,-116.313234,0
33.847982,-116.313087,146
33.847982,-116.313087,290
33.84,-116.31,262
33.847256,-116.313267,79
33.847272,-116.313255,2
33.847873,-116.313256,13
33.847978,-116.313331,2
33.847286,-116.313419,43
33.847339,-116.313155,113
33.847503,-116.313247,4
33.837566,-116.309934,0
33.837553,-116.310332,0
33.837393,-116.310072,0
33.837553,-116.310333,0
33.837702,-116.310177,0
33.837386,-116.310127,0
33.837516,-116.309478,0
33.837481,-116.309705,0
33.847385,-116.313223,0
33.847379,-116.313201,0
33.847291,-116.313291,15
33.844364,-116.310632,0
33.838065,-116.310518,0
33.83815,-116.310539,0
33.837185,-116.309656,0
33.837209,-116.310013,0
33.837747,-116.310161,0
33.837736,-116.310247,4
33.83781,-116.310456,0
