sum.taxonomy,K0512_L7,K0514_B2,K0514_E4,K0514_L7,K0515_G5,K0515_K6,K0515_L7,K0572_B2,K0611_K6,K0613_A1,K0613_B2,K0613_K6,K0613_M8,K0614_G5,K0614_T9,K0615_L7,K0616_B2,K0616_C3,K0616_G5,K0616_K6,K0617_B2,K0617_C3,K0617_E4,K0617_L7,K0618_G5,K0619_E4,K0619_M8,K0619_T9,K0712_A1,K0712_B2,K0712_K6,K0713_C3,K0714_T9,K0715_A1,K0716_B2,K0717_C3,K0717_K6,K0718_A1,K0718_B2,K0719_G5,K0719_K6,K0720_L7,K0757_A1,K0759_E4,K0773_A1,K0774_M8,K0777_G5,K0778_A1,K0779_E4,K0779_K6,K0779_T9,K0792_C3,K0832_K6,K0835_A1,K0836_G5,K0838_B2,K0713_G5
Abditibacteriota;Abditibacteria;Abditibacteriales;Abitibacteriaceae;Abditibacterium;Abditibacterium utsteinense,61,5,0,0,25,0,0,41,0,0,0,0,0,0,3,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,14,0,5,3,3,28,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;,0,2,0,0,0,0,0,0,8,2,7,0,3,0,0,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,35,0,0,0,0,0,1,4,15,0,0,0,0,0,10,0,4,0,4,0,0,0,0,0,2,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium sp. SCGC AAA007-N14,0,0,0,12,1,8,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,2,0,0,12,0,0,0,0,2,0,0,4,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium sp. SCGC AAA007-P13,0,4,0,0,0,0,17,0,1,2,38,0,0,2,0,3,9,0,11,0,1,5,0,34,20,8,0,2,1,14,22,0,0,17,1,12,0,12,32,0,0,1,29,0,4,0,0,0,7,0,2,0,11,0,16,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium sp. SCGC AAA240-K18,0,34,0,7,0,3,4,0,0,0,0,14,2,0,0,0,0,0,16,0,0,0,0,4,6,0,0,0,0,3,40,0,0,0,22,0,0,23,32,0,6,0,0,0,0,4,0,0,24,27,1,0,0,0,0,5,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium sp. WY65,0,38,0,0,0,0,0,0,0,0,0,33,36,54,0,26,0,15,6,17,57,0,30,24,0,0,6,0,0,0,114,0,3,0,8,33,5,17,11,0,3,0,0,0,12,14,0,0,1,24,81,0,22,0,1,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;Edaphobacter modestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella sp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,12,0,1,0,0,0,0,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;,17,226,1,23,56,14,52,16,49,53,34,28,29,275,0,15,25,34,49,43,94,44,64,87,93,97,285,86,75,22,59,12,95,64,159,262,19,39,122,48,766,83,74,38,97,372,14,115,54,55,54,458,91,0,21,48,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;Acidobacteria bacterium KBS 96,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,0,34,3,0,0,4,0,0,13,10,34,0,0,0,0,0,0,24,6,0,0,16,0,1,8,0,18,0,22,15,9,1,0,10,22,0,0,5,12,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;Acidobacteriaceae bacterium,24,0,0,9,0,0,0,0,0,0,0,11,12,36,0,7,0,0,23,41,40,0,0,7,0,0,12,0,74,0,0,0,1,0,26,11,0,0,0,1,0,0,0,2,0,48,0,3,0,0,34,0,15,71,0,26,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;Acidobacteriaceae bacterium Gsoil 1619,22,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin5121,0,44,0,1,0,2,4,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,4,5,0,3,0,0,20,0,0,3,11,0,0,10,17,0,0,6,0,0,0,2,0,0,69,0,38,7,0,0,0,1,0
