sum.taxonomy,X1_K0733_M8,X10_K0689_B2,X11_K0683_L7,X12_K0695_K6,X14_K0721_T9,X15_K0733_T9,X16_K0721_E4,X17_K0503_B2,X18_K0531_A1,X19_K0721_M8,X2_K0721_L7,X20_K0699_K6,X21_K0721_B2,X22_K0685_M8,X23_K0721_C3,X24_K0501_B2,X25_K0689_T9,X26_K0733_C3,X27_K0669_E4,X28_K0503_E4,X29_K0531_M8,X3_K0733_E4,X30_K0685_A1,X31_K0547_T9,X32_K0738_T9,X33_K0738_B2,X34_K0733_G5,X36_K0730_K6,X37_K0722_G5,X39_K0521_B2,X4_K0721_K6,X40_K0730_E4,X41_K0726_K6,X42_K0669_C3,X43_K0730_L7,X44_K0726_B2,X45_K0722_B2,X46_K0730_B2,X47_K0730_T9,X48_K0582_M8,X49_K0722_T9,X5_K0638_L7,X50_K0726_G5,X51_K0722_K6,X54_K0722_M8,X57_Water_sample_T3_meter_8_M8,X58_Water_sample_T4._Meter_5_G5,X6_K0689_L7,X60_Water_sample_A1,X61_SW._Simone_Upper._A1,X62_Simone_A1,X63_Simone_A1,X64_Water_sample_T5._Meter_6_K6,X65_Simone_3_A1,X66_T6_8m_M8,X67_Water_sample_t2_2m_A1,X68_Water_sample_5_G5,X7_K0504_K6,X70_exp1_blank_unk,X71_exp1_crayfish_only_unk,X72_exp1_crayfish_and_tilapia_unk,X73_exp1_tilapia_only_unk,X74_dead_crayfish_unk,X75_exp2_blank_unk,X76_exp2_crayfish_only_unk,X77_exp2_crayfish_and_tilapia_unk,X78_exp3_blank_unk,X79_exp3_crayfish_only_unk,X8_K0685_T9,X80_exp3_crayfish_and_tilapia_unk,X82_exp3_tilapia_only_unk,X83_exp2_tilapia_only_unk,X9_K0738_A1,X52_K0726_L7,X53_K0721_A1,X55_K0531_E4,X56_K0669_T9
Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Synechococcaceae;Cyanobium;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Thaumarchaeota;Nitrososphaeria;Candidatus Nitrosocaldales;Candidatus Nitrosocaldaceae;Candidatus Nitrosopelagicus;Candidatus Nitrosopelagicus brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus flavus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,11,4,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomodales;Sphingomodaceae;Sandarakinorhabdus;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ascomycota;Dothideomycetes;NA;NA;Ramimonilia;Ramimonilia apicalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Dictyosporiaceae;Dictyosporium;Dictyosporium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,1,12,0,0,0,4,2,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Massariceae;Stagonospora;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces helicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,46,0,0,22,51,74,274,0,1,0,60,0,0,220,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,106,150
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Neochloridaceae;Neochloris;Neochloris vigensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,0,0,16,8,8,1,0,0,0,27,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Desmodesmus;Desmodesmus intermedius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,0,23,19,11,14,0,0,0,26,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28
Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;Scenedesmus bijugus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,4,1,0,0,0,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum_11_biodindic_reads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,68,0,2,79,90,113,290,0,13,4,137,146,0,262,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,1,0,0,0,2,11,106,197
sum_11_biodindic_reads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,22,68,0,2,79,90,113,290,0,13,4,137,146,0,262,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,1,0,0,0,2,11,106,197
