Latitude,Longitude,Value
33.838,-116.31,340
33.837799,-116.310533,260
33.837824,-116.310105,25
33.837627,-116.310133,60
33.837686,-116.310382,750
33.891629,-116.366084,899
33.847537,-116.31319,1644
33.837826,-116.310403,256
33.83753,-116.310202,10
33.847457,-116.313351,2417
33.837774,-116.30918,6
33.84737,-116.313224,2180
33.837844,-116.310379,247
33.847534,-116.313426,1709
33.837386,-116.310127,84
33.837179,-116.309927,9
33.837307,-116.3098,495
33.837739,-116.309824,423
33.837626,-116.309601,7
33.83739,-116.309869,96
33.83748,-116.30968,1
33.837604,-116.309407,2
33.837466,-116.310129,28
33.83803,-116.310446,353
33.837825,-116.310479,340
33.838119,-116.310705,209
33.837654,-116.310288,22
33.837386,-116.310127,106
33.837861,-116.309941,5
33.837385,-116.309448,102
33.837681,-116.310024,243
33.847869,-116.313252,3817
33.847,-116.313,836
33.82731,-116.224371,69
33.847647,-116.313234,2434
33.847982,-116.313087,3241
33.847982,-116.313087,1914
33.84,-116.31,2311
33.847256,-116.313267,2542
33.847272,-116.313255,782
33.847873,-116.313256,2871
33.847978,-116.313331,2421
33.847286,-116.313419,1738
33.847339,-116.313155,1953
33.847503,-116.313247,1381
33.837566,-116.309934,589
33.837553,-116.310332,14
33.837393,-116.310072,0
33.837553,-116.310333,49
33.837702,-116.310177,12
33.837386,-116.310127,34
33.837516,-116.309478,0
33.837481,-116.309705,19
33.847385,-116.313223,487
33.847379,-116.313201,673
33.847291,-116.313291,748
33.844364,-116.310632,0
33.838065,-116.310518,343
33.83815,-116.310539,248
33.837185,-116.309656,397
33.837209,-116.310013,226
33.837747,-116.310161,251
33.837736,-116.310247,724
33.83781,-116.310456,315
